ID,Commit URL,File Name,Before,,,After,,
,,,Vulnerability,Function,Line Number,Vulnerability,Function,Line Number
1,https://github.com/Uniswap/v3-core/commit/705be1eefc56a3620afe96a725c3a68951e8d4a9,contracts/libraries/SqrtPriceMath.sol,,,,,,
2,https://github.com/transmissions11/solmate/commit/2e27e00db68aa2cbe36f32ccd9b9043ca14554aa,src/utils/SignedWadMath.sol,,,,,,
3,https://github.com/crytic/not-so-smart-contracts/commit/5cf309ccf9df3f2eda8091bea7a331de51007103,denial_of_service/list_dos.sol,,,,,,
4,https://github.com/SidraChain/sidra-contracts/commit/c7761643830b8490b79ff41b473afa317c2551e2,contracts/Owner.sol,,,,,,
5,https://github.com/SidraChain/sidra-contracts/commit/73df01cb36a92ef679d46d82adb0ec25196758e3,contracts/SidraToken.sol,,,,,,
6,https://github.com/Uniswap/v4-core/commit/b9b0d2a1f6e6a39444ff9ab286d99efd5de5b8d2,src/test/AccessLockHook.sol,,,,,,
7,https://github.com/Uniswap/v4-core/commit/06564d33b2fa6095830c914461ee64d34d39c305,src/test/PoolModifyPositionTest.sol,,,,,,
8,https://github.com/Uniswap/v4-core/commit/cede34fd171a664d4eb6468854475c9cba5c559c,src/test/PoolModifyPositionTest.sol,,,,,,
9,https://github.com/Synthetixio/synthetix/commit/85d61a215cb6ef04fa04c9e5a0240fb6a6e4d011,contracts/RewardsDistribution.sol,,,,,,
10,https://github.com/Synthetixio/synthetix/commit/263e5737ba8b10c61c9c71a794b4ce6ae02a0c45,contracts/RewardsDistribution.sol,,,,,,
11,https://github.com/Uniswap/v2-periphery/commit/dda62473e2da448bc9cb8f4514dadda4aeede5f4,contracts/examples/ExampleSwapToPrice.sol,,,,,,
12,https://github.com/yearn/yearn-vaults/commit/7c5755255b1c17c754113a7bc1e1ba9770997af3,contracts/BaseStrategy.sol,,,,,,
13,https://github.com/yearn/yearn-protocol/commit/7b7d4042f87d6e854b00de9228c01f6f587cf0c0,contracts/strategies/StrategyProxy.sol,,,,,,
14,https://github.com/yearn/yearn-protocol/commit/7843b12ff01240897d535df7da9cfafbb9d4bbae,contracts/strategies/StrategyMKRVaultDAIDelegate.sol,,,,,,
15,https://github.com/ProjectWyvern/wyvern-ethereum/commit/a68053060f69c23a09d82cb7f6e361ba2cc0c768,contracts/common/ArrayUtils.sol,,,,,,
16,https://github.com/omni/tokenbridge-contracts/commit/908a48107919d4ab127f9af07d44d47eac91547e,contracts/upgradeable_contracts/arbitrary_message/MessageDelivery.sol,,,,,,
17,https://github.com/omni/tokenbridge-contracts/commit/908a48107919d4ab127f9af07d44d47eac91547e,contracts/upgradeable_contracts/erc20_to_native/InterestConnector.sol,,,,,,
18,https://github.com/ethereum/act/commit/7d568e5fe8981ce8a3ad3ea591e82623e97d4a52,tests/hevm/pass/safemath/safemath.sol,,,,,,
19,https://github.com/matter-labs/era-contracts/commit/626e1ccf2aa943eab85f111337e23a1a763a03fc,ethereum/contracts/zksync/facets/Executor.sol,,,,,,
20,https://github.com/matter-labs/era-contracts/commit/414377fa021d2943ddd98622b8e2747fa6d2b9bf,ethereum/contracts/zksync/libraries/TransactionValidator.sol,,,,,,
21,https://github.com/truffle-box/react-auth-box/commit/b473772c07dc19f1128a2f4646ba5b0cbc932470,contracts/Authentication.sol,,,,,,
22,https://github.com/thesandboxgame/sandbox-smart-contracts/commit/f102e4a72c70d72e73df43acd27cc64b6bea2580,packages/asset/contracts/Catalyst.sol,,,,,,
23,https://github.com/blunt-instruments/MevWallet/commit/6f8a001e2aee9bf534560a378a0477bca2ea0c1d,contracts/MevWalletV0.sol,,,,,,
24,https://github.com/DODOEX/contractV2/commit/806cfb6a62db03bbe38986ea9ab3dcd10e835efa,archive/DODOV2Proxy01.sol,,,,,,
25,https://github.com/DODOEX/contractV2/commit/806cfb6a62db03bbe38986ea9ab3dcd10e835efa,contracts/SmartRoute/DODOV2Proxy02.sol,,,,,,
26,https://github.com/DODOEX/contractV2/commit/806cfb6a62db03bbe38986ea9ab3dcd10e835efa,contracts/SmartRoute/adapter/UniV3Adapter.sol,,,,,,
27,https://github.com/DODOEX/contractV2/commit/2cfa638ed825cd24b5f763de5d2cf8ece5da0eb9,contracts/SmartRoute/adapter/UniV3Adapter.sol,,,,,,
28,https://github.com/jcsec-security/solidity-security-teaching-resources/commit/89c229336eb04058706ef28eea94da95f9ad583b,faillapop/src/Faillapop_shop.sol,,,,,,
29,https://github.com/jcsec-security/solidity-security-teaching-resources/commit/f5cee8c9621c87a4fc1f62e311fdf66d0e19e9a3,BasicExamples/2-reentrancy.sol,,,,,,
30,https://github.com/jcsec-security/solidity-security-teaching-resources/commit/f5cee8c9621c87a4fc1f62e311fdf66d0e19e9a3,BasicExamples/4-weakRandomness.sol,,,,,,
31,https://github.com/jcsec-security/solidity-security-teaching-resources/commit/f5cee8c9621c87a4fc1f62e311fdf66d0e19e9a3,BasicExamples/5-Overflow.sol,,,,,,
